,location,gpsLat,gpsLong,polygon,EV_station_counts,population,school_count,university_count,restaurant_count,place_of_worship_count,community_centre_count,townhall_count,parking_count,library_count,park_count,cinema_count,commercial_count,government_count,civic_count,retail_count,landuse,oneway_exists,average_lanes,high_way,average_maxspeed,nodes,edges,density
62,Location 63,45.4833333333333,12.1166666666667,"POLYGON ((12.113463522449878 45.481072404000905, 12.113463522449878 45.48559426266569, 12.11986981088352 45.48559426266569, 12.11986981088352 45.481072404000905, 12.113463522449878 45.481072404000905))",1,0.49186990425531907,0,0,0,0,0,0,0,0,1,0,0,0,0,0,residential,yes,1,secondary,35.0,9,12,0.16666666666666666
63,Location 64,45.5104083333333,12.22195,"POLYGON ((12.21874531529077 45.50814740400091, 12.21874531529077 45.512669262665696, 12.22515468470923 45.512669262665696, 12.22515468470923 45.50814740400091, 12.21874531529077 45.50814740400091))",1,0.13198706849315062,0,0,0,0,0,0,1,0,0,0,0,0,0,0,commercial,yes,2,service,,14,20,0.10989010989010989
64,Location 65,45.5182591,12.2339248,"POLYGON ((12.230719668192878 45.51599817066761, 12.230719668192878 45.520520029332395, 12.237129931807123 45.520520029332395, 12.237129931807123 45.51599817066761, 12.230719668192878 45.51599817066761))",1,0.7693360267379679,0,0,1,0,0,0,6,0,0,0,0,0,0,1,residential,yes,2,service,26.0,25,33,0.055
65,Location 66,45.3966166666667,10.9918944444444,"POLYGON ((10.988696219411692 45.39435573733431, 10.988696219411692 45.398877595999096, 10.995092669477108 45.398877595999096, 10.995092669477108 45.39435573733431, 10.988696219411692 45.39435573733431))",1,0.2946734166666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,residential,yes,2,trunk_link,61.333333333333336,6,9,0.3
66,Location 67,45.6524805555556,12.220275,"POLYGON ((12.217062195645516 45.650219626223205, 12.217062195645516 45.65474148488799, 12.223487804354486 45.65474148488799, 12.223487804354486 45.650219626223205, 12.217062195645516 45.650219626223205))",1,1.178911609090909,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,yes,2,residential,70.0,2,1,0.5
67,Location 68,44.6761027777778,10.6018527777778,"POLYGON ((10.598694571174182 44.673841848445406, 10.598694571174182 44.678363707110194, 10.605010984381419 44.678363707110194, 10.605010984381419 44.673841848445406, 10.598694571174182 44.673841848445406))",1,2.970683765957447,0,0,0,0,0,0,4,0,3,0,0,0,0,0,residential,yes,2,residential,50.0,30,45,0.05172413793103448
68,Location 69,44.6761027777778,10.6018527777778,"POLYGON ((10.598694571174182 44.673841848445406, 10.598694571174182 44.678363707110194, 10.605010984381419 44.678363707110194, 10.605010984381419 44.673841848445406, 10.598694571174182 44.673841848445406))",1,2.970683765957447,0,0,0,0,0,0,4,0,3,0,0,0,0,0,residential,yes,2,residential,50.0,30,45,0.05172413793103448
69,Location 70,45.4670886,8.6231705,"POLYGON ((8.61996827900968 45.4648276706676, 8.61996827900968 45.46934952933239, 8.626372720990322 45.46934952933239, 8.626372720990322 45.4648276706676, 8.61996827900968 45.4648276706676))",1,2.5758110944444446,0,0,0,0,0,0,0,0,1,0,0,0,0,0,commercial,yes,2,footway,50.0,8,9,0.16071428571428573
70,Location 71,44.5662027777778,11.3549333333333,"POLYGON ((11.351781099303018 44.5639418484454, 11.351781099303018 44.56846370711019, 11.358085567363581 44.56846370711019, 11.358085567363581 44.5639418484454, 11.351781099303018 44.5639418484454))",1,1.0208960655737704,0,0,2,0,1,0,3,0,1,0,0,0,0,0,residential,yes,2,service,44.285714285714285,6,8,0.26666666666666666
71,Location 72,45.5502888888889,12.2947777777778,"POLYGON ((12.291570819969866 45.54802795955651, 12.291570819969866 45.552549818221294, 12.297984735585732 45.552549818221294, 12.297984735585732 45.54802795955651, 12.291570819969866 45.54802795955651))",1,3.6906354525547442,0,0,0,0,0,0,6,0,0,0,0,0,0,0,residential,yes,1,tertiary,50.0,26,42,0.06461538461538462
